# SOURCE: Derived from wind_turbines-research.csv and daily_weather_openfield-research.csv
# DATE: 2026-02-25
# DESCRIPTION: Daily wind energy output per turbine for small/medium/large distributed-scale turbines
# UNITS: date=YYYY-MM-DD, small_turbine_kwh, medium_turbine_kwh, large_turbine_kwh=kWh/turbine/day
# LOGIC: Wind speed extrapolated from 10m to hub height using power law (alpha=0.14). Power curve: P = P_rated * (v^3 - v_cin^3) / (v_rated^3 - v_cin^3) for v_cin <= v <= v_rated; P_rated for v_rated < v <= v_cout; 0 otherwise. Expected power computed by numerical integration of power curve over Rayleigh distribution of sub-daily wind speeds (corrects Jensen's inequality bias from using daily mean directly). System losses (availability, electrical, dust/soiling, mechanical) applied as per-turbine derating.
# DEPENDENCIES: data/energy/wind_turbines-research.csv, data/weather/daily_weather_openfield-research.csv
# ASSUMPTIONS: (1) Power-law wind shear exponent 0.14 for open coastal terrain. (2) Sub-daily wind speed variability modeled via Rayleigh distribution (sigma = v_mean * sqrt(2/pi)). (3) No air density correction for altitude/temperature.
# TURBINES: small=bergey_excel_10 (10kW, hub 30m, rotor 7.0m, losses 12%); medium=eocycle_eo25 (25kW, hub 30m, rotor 12.6m, losses 10%); large=endurance_e3120 (50kW, hub 37m, rotor 19.2m, losses 10%)
date,small_turbine_kwh,medium_turbine_kwh,large_turbine_kwh
2010-05-14,69.04,172.66,424.49
2010-05-15,31.24,75.53,203.81
2010-05-16,4.98,9.77,26.29
2010-05-17,24.53,58.4,160.19
2010-05-18,115.12,291.63,655.74
2010-05-19,137.79,350.4,750.3
2010-05-20,125.02,317.23,700.1
2010-05-21,57.99,144.21,363.59
2010-05-22,53.95,133.81,340.67
2010-05-23,132.4,336.36,730.79
2010-05-24,100.37,253.51,585.56
2010-05-25,83.79,210.71,502.33
2010-05-26,31.24,75.53,203.81
2010-05-27,72.03,180.37,440.59
2010-05-28,124.56,316.04,698.11
2010-05-29,74.98,187.99,456.32
2010-05-30,31.46,76.07,205.17
2010-05-31,17.55,40.69,113.05
2010-06-01,3.94,7.41,19.63
2010-06-02,67.64,169.07,416.95
2010-06-03,74.98,187.99,456.32
2010-06-04,89.25,224.8,530.22
2010-06-05,93.29,235.22,550.55
2010-06-06,37.38,91.25,242.32
2010-06-07,1.49,2.21,5.43
2010-06-08,119.47,302.86,675.54
2010-06-09,124.09,314.84,696.09
2010-06-10,63.67,158.82,395.19
2010-06-11,17.22,39.87,110.81
2010-06-12,40.79,100.0,263.2
2010-06-13,45.67,112.53,292.47
2010-06-14,85.28,214.56,510.0
2010-06-15,95.06,239.8,559.38
2010-06-16,24.34,57.91,158.91
2010-06-17,55.62,138.1,350.16
2010-06-18,58.47,145.43,366.26
2010-06-19,54.43,135.04,343.39
2010-06-20,5.14,10.14,27.34
2010-06-21,18.04,41.94,116.45
2010-06-22,63.9,159.43,396.49
2010-06-23,36.93,90.1,239.55
2010-06-24,91.89,231.62,543.54
2010-06-25,117.42,297.56,666.26
2010-06-26,103.09,260.53,598.78
2010-06-27,84.22,211.81,504.53
2010-06-28,38.97,95.31,252.06
2010-06-29,23.57,55.96,153.83
2010-06-30,103.62,261.9,601.36
2010-07-01,111.48,282.2,638.77
2010-07-02,101.1,255.4,589.14
2010-07-03,72.03,180.37,440.59
2010-07-04,33.61,81.59,218.83
2010-07-05,40.34,98.82,260.42
2010-07-06,64.14,160.04,397.78
2010-07-07,90.68,228.49,537.44
2010-07-08,123.86,314.23,695.06
2010-07-09,120.13,304.57,678.51
2010-07-10,116.85,296.11,663.69
2010-07-11,122.66,311.13,689.79
2010-07-12,70.19,175.64,430.73
2010-07-13,112.57,285.02,643.87
2010-07-14,118.52,300.42,671.28
2010-07-15,97.75,246.75,572.71
2010-07-16,17.22,39.87,110.81
2010-07-17,66.48,166.07,410.61
2010-07-18,81.41,204.58,490.04
2010-07-19,103.8,262.36,602.21
2010-07-20,105.2,265.97,608.95
2010-07-21,113.94,288.56,650.24
2010-07-22,73.4,183.9,447.89
2010-07-23,67.41,168.47,415.69
2010-07-24,50.87,125.87,322.9
2010-07-25,12.58,28.24,78.62
2010-07-26,18.04,41.94,116.45
2010-07-27,51.1,126.48,324.27
2010-07-28,105.2,265.97,608.95
2010-07-29,57.04,141.76,358.24
2010-07-30,19.92,46.69,129.28
2010-07-31,5.89,11.91,32.35
2010-08-01,60.36,150.31,376.88
2010-08-02,110.68,280.16,635.05
2010-08-03,101.83,257.28,592.68
2010-08-04,67.18,167.87,414.42
2010-08-05,2.93,5.17,13.42
2010-08-06,1.78,2.77,6.9
2010-08-07,66.48,166.07,410.61
2010-08-08,90.48,227.96,536.42
2010-08-09,103.8,262.36,602.21
2010-08-10,103.8,262.36,602.21
2010-08-11,78.78,197.79,476.32
2010-08-12,93.88,236.76,553.52
2010-08-13,101.83,257.28,592.68
2010-08-14,97.94,247.24,573.65
2010-08-15,69.04,172.66,424.49
2010-08-16,70.88,177.42,434.44
2010-08-17,74.53,186.82,453.92
2010-08-18,31.03,74.99,202.46
2010-08-19,35.6,86.67,231.24
2010-08-20,80.54,202.33,485.51
2010-08-21,117.56,297.92,666.89
2010-08-22,106.91,270.4,617.15
2010-08-23,83.36,209.6,500.12
2010-08-24,79.66,200.06,480.93
2010-08-25,100.92,254.93,588.25
2010-08-26,98.7,249.19,577.36
2010-08-27,30.82,74.44,201.1
2010-08-28,47.55,117.36,303.57
2010-08-29,83.57,210.15,501.22
2010-08-30,95.84,241.8,563.24
2010-08-31,109.07,275.98,627.43
2010-09-01,80.54,202.33,485.51
2010-09-02,95.45,240.8,561.31
2010-09-03,77.67,194.93,470.51
2010-09-04,85.28,214.56,510.0
2010-09-05,89.25,224.8,530.22
2010-09-06,84.86,213.46,507.82
2010-09-07,74.76,187.41,455.12
2010-09-08,82.28,206.82,494.54
2010-09-09,94.08,237.27,554.5
2010-09-10,80.1,201.2,483.22
