# SOURCE: Derived from wind_turbines-research.csv and daily_weather_openfield-research.csv
# DATE: 2026-02-25
# DESCRIPTION: Daily wind energy output per turbine for small/medium/large distributed-scale turbines
# UNITS: date=YYYY-MM-DD, small_turbine_kwh, medium_turbine_kwh, large_turbine_kwh=kWh/turbine/day
# LOGIC: Wind speed extrapolated from 10m to hub height using power law (alpha=0.14). Power curve: P = P_rated * (v^3 - v_cin^3) / (v_rated^3 - v_cin^3) for v_cin <= v <= v_rated; P_rated for v_rated < v <= v_cout; 0 otherwise. Expected power computed by numerical integration of power curve over Rayleigh distribution of sub-daily wind speeds (corrects Jensen's inequality bias from using daily mean directly). System losses (availability, electrical, dust/soiling, mechanical) applied as per-turbine derating.
# DEPENDENCIES: data/energy/wind_turbines-research.csv, data/weather/daily_weather_openfield-research.csv
# ASSUMPTIONS: (1) Power-law wind shear exponent 0.14 for open coastal terrain. (2) Sub-daily wind speed variability modeled via Rayleigh distribution (sigma = v_mean * sqrt(2/pi)). (3) No air density correction for altitude/temperature.
# TURBINES: small=bergey_excel_10 (10kW, hub 30m, rotor 7.0m, losses 12%); medium=eocycle_eo25 (25kW, hub 30m, rotor 12.6m, losses 10%); large=endurance_e3120 (50kW, hub 37m, rotor 19.2m, losses 10%)
date,small_turbine_kwh,medium_turbine_kwh,large_turbine_kwh
2011-06-27,76.33,191.47,463.45
2011-06-28,110.52,279.74,634.3
2011-06-29,116.43,295.0,661.73
2011-06-30,104.67,264.63,606.44
2011-07-01,70.88,177.42,434.44
2011-07-02,41.72,102.36,268.78
2011-07-03,57.28,142.38,359.58
2011-07-04,98.51,248.7,576.43
2011-07-05,75.21,188.57,457.51
2011-07-06,50.39,124.65,320.15
2011-07-07,45.91,113.13,293.86
2011-07-08,32.31,78.27,210.62
2011-07-09,37.38,91.25,242.32
2011-07-10,65.78,164.26,406.78
2011-07-11,89.45,225.33,531.26
2011-07-12,91.89,231.62,543.54
2011-07-13,68.57,171.47,421.99
2011-07-14,54.9,136.26,346.1
2011-07-15,80.1,201.2,483.22
2011-07-16,101.29,255.87,590.03
2011-07-17,84.0,211.26,503.43
2011-07-18,59.65,148.48,372.91
2011-07-19,32.96,79.93,214.72
2011-07-20,9.32,20.18,55.84
2011-07-21,10.75,23.71,65.85
2011-07-22,3.81,7.1,18.78
2011-07-23,78.12,196.07,472.84
2011-07-24,21.35,50.31,138.92
2011-07-25,0.64,0.72,1.62
2011-07-26,25.11,59.88,164.04
2011-07-27,58.47,145.43,366.26
2011-07-28,91.69,231.1,542.53
2011-07-29,80.32,201.76,484.37
2011-07-30,72.03,180.37,440.59
2011-07-31,99.44,251.12,581.03
2011-08-01,107.58,272.13,620.36
2011-08-02,98.88,249.67,578.28
2011-08-03,86.34,217.28,515.4
2011-08-04,113.33,287.0,647.44
2011-08-05,116.0,293.89,659.76
2011-08-06,114.23,289.33,651.63
2011-08-07,97.75,246.75,572.71
2011-08-08,82.5,207.38,495.66
2011-08-09,83.14,209.04,499.01
2011-08-10,67.41,168.47,415.69
2011-08-11,53.0,131.37,335.22
2011-08-12,61.07,152.14,380.83
2011-08-13,97.75,246.75,572.71
2011-08-14,74.3,186.24,452.72
2011-08-15,85.49,215.1,511.08
2011-08-16,97.94,247.24,573.65
2011-08-17,84.64,212.91,506.72
2011-08-18,102.01,257.75,593.56
2011-08-19,107.58,272.13,620.36
2011-08-20,25.5,60.88,166.62
2011-08-21,28.94,69.63,188.99
2011-08-22,32.75,79.37,213.35
2011-08-23,74.3,186.24,452.72
2011-08-24,85.92,216.19,513.25
2011-08-25,108.74,275.14,625.88
2011-08-26,76.33,191.47,463.45
2011-08-27,91.89,231.62,543.54
2011-08-28,113.94,288.56,650.24
2011-08-29,122.9,311.76,690.86
2011-08-30,102.91,260.07,597.92
2011-08-31,100.0,252.56,583.76
2011-09-01,82.5,207.38,495.66
2011-09-02,92.69,233.68,547.56
2011-09-03,30.82,74.44,201.1
2011-09-04,16.9,39.05,108.58
2011-09-05,36.71,89.52,238.16
2011-09-06,61.31,152.75,382.15
2011-09-07,67.18,167.87,414.42
2011-09-08,40.57,99.41,261.81
2011-09-09,55.38,137.48,348.81
2011-09-10,66.95,167.27,413.15
2011-09-11,48.73,120.39,310.49
2011-09-12,23.76,56.45,155.09
2011-09-13,28.52,68.58,186.33
2011-09-14,68.57,171.47,421.99
2011-09-15,113.03,286.21,646.02
2011-09-16,64.37,160.64,399.07
2011-09-17,26.1,62.39,170.51
2011-09-18,16.1,37.05,103.1
2011-09-19,76.78,192.62,465.81
2011-09-20,73.62,184.49,449.1
2011-09-21,33.83,82.15,220.21
2011-09-22,31.03,74.99,202.46
2011-09-23,56.33,139.93,354.2
2011-09-24,52.05,128.92,329.76
2011-09-25,59.18,147.26,370.26
2011-09-26,53.48,132.59,337.95
2011-09-27,36.04,87.81,234.0
2011-09-28,20.81,48.94,135.27
2011-09-29,74.76,187.41,455.12
2011-09-30,64.84,161.85,401.65
2011-10-01,44.74,110.12,286.9
2011-10-02,57.28,142.38,359.58
2011-10-03,92.49,233.17,546.56
2011-10-04,76.78,192.62,465.81
2011-10-05,69.04,172.66,424.49
2011-10-06,88.84,223.73,528.13
2011-10-07,47.32,116.75,302.19
2011-10-08,24.15,57.42,157.63
2011-10-09,5.38,10.72,28.95
2011-10-10,3.68,6.8,17.94
2011-10-11,31.88,77.17,207.89
2011-10-12,105.02,265.53,608.12
2011-10-13,79.22,198.93,478.63
2011-10-14,68.8,172.06,423.24
2011-10-15,105.2,265.97,608.95
2011-10-16,97.94,247.24,573.65
2011-10-17,73.62,184.49,449.1
2011-10-18,27.7,66.49,181.02
2011-10-19,88.01,221.6,523.93
2011-10-20,24.72,58.89,161.47
2011-10-21,45.2,111.32,289.68
2011-10-22,85.49,215.1,511.08
2011-10-23,63.43,158.22,393.9
2011-10-24,66.01,164.87,408.06
2011-10-25,88.22,222.13,524.98
2011-10-26,85.7,215.65,512.17
2011-10-27,63.2,157.61,392.6
2011-10-28,81.41,204.58,490.04
2011-10-29,51.1,126.48,324.27
2011-10-30,67.18,167.87,414.42
2011-10-31,80.1,201.2,483.22
2011-11-01,38.51,94.14,249.27
2011-11-02,38.51,94.14,249.27
2011-11-03,49.68,122.83,316.01
2011-11-04,71.8,179.78,439.36
2011-11-05,80.54,202.33,485.51
2011-11-06,41.02,100.59,264.6
2011-11-07,25.9,61.88,169.21
2011-11-08,23.19,55.0,151.31
2011-11-09,20.81,48.94,135.27
2011-11-10,8.21,17.48,48.18
2011-11-11,6.9,14.31,39.16
2011-11-12,11.65,25.92,72.09
2011-11-13,30.82,74.44,201.1
2011-11-14,45.44,111.92,291.07
2011-11-15,72.48,181.55,443.03
2011-11-16,60.84,151.53,379.51
2011-11-17,32.96,79.93,214.72
2011-11-18,60.6,150.92,378.2
2011-11-19,111.94,283.41,640.97
2011-11-20,81.41,204.58,490.04
2011-11-21,75.88,190.31,461.08
2011-11-22,27.91,67.01,182.34
2011-11-23,17.22,39.87,110.81
2011-11-24,37.61,91.82,243.71
2011-11-25,77.89,195.5,471.67
2011-11-26,57.75,143.6,362.26
2011-11-27,65.31,163.06,404.22
2011-11-28,59.65,148.48,372.91
2011-11-29,20.63,48.48,134.06
2011-11-30,9.78,21.32,59.08
2011-12-01,10.02,21.9,60.74
2011-12-02,29.77,71.76,194.36
2011-12-03,21.35,50.31,138.92
2011-12-04,11.13,24.64,68.49
2011-12-05,38.06,92.98,246.49
2011-12-06,71.8,179.78,439.36
2011-12-07,39.19,95.89,253.45
2011-12-08,102.19,258.21,594.44
2011-12-09,80.54,202.33,485.51
2011-12-10,39.88,97.65,257.63
2011-12-11,21.89,51.69,142.6
2011-12-12,33.18,80.48,216.09
2011-12-13,22.63,53.57,147.55
2011-12-14,44.04,108.32,282.72
2011-12-15,99.44,251.12,581.03
2011-12-16,19.06,44.5,123.38
2011-12-17,13.42,30.32,84.45
2011-12-18,4.67,9.06,24.27
2011-12-19,7.8,16.47,45.29
2011-12-20,1.38,2.0,4.87
2011-12-21,57.75,143.6,362.26
2011-12-22,65.31,163.06,404.22
2011-12-23,61.54,153.36,383.46
2011-12-24,80.54,202.33,485.51
2011-12-25,79.66,200.06,480.93
2011-12-26,32.53,78.82,211.98
2011-12-27,34.05,82.71,221.58
2011-12-28,15.03,34.35,95.64
2011-12-29,5.14,10.14,27.34
2011-12-30,5.98,12.12,32.94
2011-12-31,100.37,253.51,585.56
2012-01-01,91.89,231.62,543.54
2012-01-02,90.68,228.49,537.44
2012-01-03,49.44,122.22,314.64
2012-01-04,34.49,83.84,224.33
2012-01-05,60.13,149.7,375.56
2012-01-06,35.82,87.24,232.62
2012-01-07,9.67,21.03,58.26
2012-01-08,58.23,144.82,364.93
2012-01-09,47.32,116.75,302.19
2012-01-10,19.57,45.81,126.91
2012-01-11,98.51,248.7,576.43
2012-01-12,81.85,205.7,492.3
2012-01-13,107.58,272.13,620.36
2012-01-14,41.02,100.59,264.6
2012-01-15,42.41,104.14,272.97
2012-01-16,72.48,181.55,443.03
2012-01-17,28.73,69.1,187.66
2012-01-18,46.38,114.34,296.63
2012-01-19,92.09,232.13,544.55
2012-01-20,88.63,223.2,527.08
2012-01-21,29.77,71.76,194.36
2012-01-22,108.91,275.56,626.66
2012-01-23,65.78,164.26,406.78
2012-01-24,8.87,19.07,52.7
2012-01-25,4.3,8.21,21.88
2012-01-26,56.33,139.93,354.2
2012-01-27,102.19,258.21,594.44
2012-01-28,93.68,236.25,552.53
2012-01-29,12.04,26.9,74.86
2012-01-30,14.43,32.85,91.5
2012-01-31,69.04,172.66,424.49
2012-02-01,112.1,283.82,641.7
2012-02-02,31.67,76.62,206.53
2012-02-03,7.39,15.49,42.5
2012-02-04,18.55,43.21,119.9
2012-02-05,2.34,3.9,9.96
2012-02-06,19.57,45.81,126.91
2012-02-07,88.63,223.2,527.08
2012-02-08,106.4,269.08,614.72
2012-02-09,90.27,227.44,535.39
2012-02-10,110.84,280.57,635.8
2012-02-11,24.34,57.91,158.91
2012-02-12,8.54,18.27,50.41
2012-02-13,40.11,98.23,259.02
2012-02-14,9.9,21.61,59.91
2012-02-15,54.19,134.42,342.03
2012-02-16,130.24,330.77,722.14
2012-02-17,121.67,308.56,685.39
2012-02-18,119.06,301.82,673.73
2012-02-19,94.08,237.27,554.5
2012-02-20,25.7,61.38,167.91
2012-02-21,20.81,48.94,135.27
2012-02-22,22.63,53.57,147.55
2012-02-23,72.26,180.96,441.81
2012-02-24,37.16,90.67,240.93
2012-02-25,121.92,309.21,686.51
2012-02-26,6.71,13.86,37.87
2012-02-27,1.82,2.85,7.13
2012-02-28,68.34,170.87,420.73
2012-02-29,120.39,305.25,679.68
2012-03-01,105.54,266.87,610.61
2012-03-02,132.95,337.81,732.97
2012-03-03,95.06,239.8,559.38
2012-03-04,48.03,118.57,306.34
2012-03-05,19.57,45.81,126.91
2012-03-06,58.47,145.43,366.26
2012-03-07,43.34,106.53,278.54
2012-03-08,86.55,217.82,516.48
2012-03-09,50.39,124.65,320.15
2012-03-10,21.35,50.31,138.92
2012-03-11,9.09,19.62,54.26
2012-03-12,43.11,105.93,277.15
2012-03-13,81.2,204.02,488.91
2012-03-14,115.27,292.01,656.42
2012-03-15,115.12,291.63,655.74
2012-03-16,122.78,311.44,690.33
2012-03-17,94.28,237.77,555.48
2012-03-18,26.3,62.9,171.82
2012-03-19,35.37,86.1,229.85
2012-03-20,66.01,164.87,408.06
2012-03-21,66.01,164.87,408.06
2012-03-22,57.28,142.38,359.58
2012-03-23,45.2,111.32,289.68
2012-03-24,32.75,79.37,213.35
2012-03-25,85.07,214.01,508.91
2012-03-26,94.28,237.77,555.48
2012-03-27,110.36,279.33,633.55
2012-03-28,84.64,212.91,506.72
2012-03-29,57.99,144.21,363.59
2012-03-30,11.91,26.57,73.93
2012-03-31,5.14,10.14,27.34
2012-04-01,36.04,87.81,234.0
2012-04-02,76.33,191.47,463.45
2012-04-03,32.75,79.37,213.35
2012-04-04,35.82,87.24,232.62
2012-04-05,20.45,48.03,132.86
2012-04-06,54.19,134.42,342.03
2012-04-07,12.58,28.24,78.62
2012-04-08,5.81,11.71,31.77
2012-04-09,5.81,11.71,31.77
2012-04-10,82.28,206.82,494.54
2012-04-11,105.2,265.97,608.95
2012-04-12,83.14,209.04,499.01
2012-04-13,14.14,32.12,89.46
2012-04-14,2.05,3.3,8.34
2012-04-15,6.34,12.97,35.35
2012-04-16,106.23,268.64,613.9
2012-04-17,2.05,3.3,8.34
2012-04-18,47.08,116.15,300.8
2012-04-19,122.17,309.85,687.61
2012-04-20,75.88,190.31,461.08
2012-04-21,106.74,269.96,616.34
2012-04-22,60.13,149.7,375.56
2012-04-23,89.66,225.85,532.29
2012-04-24,91.69,231.1,542.53
2012-04-25,68.8,172.06,423.24
2012-04-26,82.28,206.82,494.54
2012-04-27,67.64,169.07,416.95
2012-04-28,51.1,126.48,324.27
2012-04-29,49.44,122.22,314.64
2012-04-30,24.53,58.4,160.19
2012-05-01,65.54,163.66,405.5
2012-05-02,60.84,151.53,379.51
2012-05-03,28.94,69.63,188.99
2012-05-04,3.35,6.09,15.96
2012-05-05,7.0,14.54,39.82
2012-05-06,15.48,35.5,98.81
2012-05-07,61.78,153.97,384.77
2012-05-08,18.88,44.07,122.22
2012-05-09,20.45,48.03,132.86
2012-05-10,85.92,216.19,513.25
2012-05-11,59.89,149.09,374.23
2012-05-12,32.31,78.27,210.62
2012-05-13,91.08,229.53,539.49
2012-05-14,11.78,26.24,73.01
2012-05-15,86.34,217.28,515.4
2012-05-16,52.29,129.53,331.12
2012-05-17,33.83,82.15,220.21
2012-05-18,54.43,135.04,343.39
2012-05-19,86.97,218.91,518.62
2012-05-20,91.89,231.62,543.54
2012-05-21,93.29,235.22,550.55
2012-05-22,45.2,111.32,289.68
2012-05-23,55.85,138.71,351.51
2012-05-24,89.86,226.38,533.33
2012-05-25,55.14,136.87,347.45
2012-05-26,62.49,155.79,388.69
2012-05-27,57.04,141.76,358.24
2012-05-28,0.38,0.36,0.76
2012-05-29,50.87,125.87,322.9
2012-05-30,114.83,290.87,654.38
2012-05-31,77.89,195.5,471.67
2012-06-01,47.55,117.36,303.57
2012-06-02,57.52,142.99,360.92
2012-06-03,36.49,88.95,236.77
2012-06-04,120.39,305.25,679.68
2012-06-05,116.28,294.63,661.08
2012-06-06,91.29,230.06,540.51
2012-06-07,58.94,146.65,368.93
2012-06-08,25.9,61.88,169.21
2012-06-09,40.79,100.0,263.2
2012-06-10,36.93,90.1,239.55
2012-06-11,85.92,216.19,513.25
2012-06-12,99.63,251.6,581.94
2012-06-13,87.59,220.52,521.81
2012-06-14,84.64,212.91,506.72
2012-06-15,13.14,29.62,82.48
2012-06-16,15.33,35.11,97.75
2012-06-17,47.55,117.36,303.57
2012-06-18,88.63,223.2,527.08
2012-06-19,99.07,250.15,579.2
2012-06-20,88.42,222.67,526.03
2012-06-21,6.43,13.19,35.97
2012-06-22,17.38,40.28,111.93
2012-06-23,6.9,14.31,39.16
2012-06-24,55.62,138.1,350.16
2012-06-25,74.98,187.99,456.32
2012-06-26,67.18,167.87,414.42
2012-06-27,83.36,209.6,500.12
2012-06-28,87.59,220.52,521.81
2012-06-29,48.03,118.57,306.34
2012-06-30,27.91,67.01,182.34
2012-07-01,25.11,59.88,164.04
2012-07-02,61.78,153.97,384.77
2012-07-03,68.57,171.47,421.99
2012-07-04,85.07,214.01,508.91
2012-07-05,69.96,175.04,429.48
2012-07-06,57.75,143.6,362.26
2012-07-07,64.37,160.64,399.07
2012-07-08,86.34,217.28,515.4
2012-07-09,47.08,116.15,300.8
2012-07-10,2.82,4.92,12.74
2012-07-11,59.89,149.09,374.23
2012-07-12,75.21,188.57,457.51
2012-07-13,4.82,9.41,25.27
2012-07-14,9.32,20.18,55.84
2012-07-15,38.51,94.14,249.27
2012-07-16,60.13,149.7,375.56
2012-07-17,68.57,171.47,421.99
2012-07-18,55.85,138.71,351.51
2012-07-19,63.2,157.61,392.6
2012-07-20,95.45,240.8,561.31
2012-07-21,112.1,283.82,641.7
2012-07-22,93.49,235.74,551.54
2012-07-23,43.57,107.12,279.94
2012-07-24,84.22,211.81,504.53
2012-07-25,82.28,206.82,494.54
2012-07-26,96.03,242.3,564.2
2012-07-27,99.07,250.15,579.2
2012-07-28,109.07,275.98,627.43
2012-07-29,106.57,269.52,615.53
2012-07-30,46.38,114.34,296.63
2012-07-31,6.07,12.33,33.53
2012-08-01,0.33,0.3,0.62
2012-08-02,79.44,199.49,479.78
2012-08-03,120.78,306.25,681.42
2012-08-04,122.78,311.44,690.33
2012-08-05,110.52,279.74,634.3
2012-08-06,78.78,197.79,476.32
2012-08-07,18.04,41.94,116.45
2012-08-08,1.96,3.12,7.84
2012-08-09,23.38,55.48,152.57
2012-08-10,43.34,106.53,278.54
2012-08-11,46.38,114.34,296.63
2012-08-12,38.06,92.98,246.49
2012-08-13,27.5,65.97,179.69
2012-08-14,55.14,136.87,347.45
2012-08-15,99.82,252.08,582.85
2012-08-16,93.09,234.71,549.56
2012-08-17,68.57,171.47,421.99
2012-08-18,46.14,113.73,295.25
2012-08-19,57.99,144.21,363.59
2012-08-20,67.64,169.07,416.95
2012-08-21,74.98,187.99,456.32
2012-08-22,84.22,211.81,504.53
2012-08-23,90.48,227.96,536.42
2012-08-24,73.17,183.31,446.68
2012-08-25,75.88,190.31,461.08
2012-08-26,78.78,197.79,476.32
2012-08-27,95.06,239.8,559.38
2012-08-28,57.52,142.99,360.92
2012-08-29,17.88,41.52,115.32
2012-08-30,51.58,127.7,327.02
2012-08-31,56.33,139.93,354.2
2012-09-01,84.0,211.26,503.43
2012-09-02,102.91,260.07,597.92
2012-09-03,65.54,163.66,405.5
2012-09-04,68.34,170.87,420.73
2012-09-05,26.1,62.39,170.51
2012-09-06,38.97,95.31,252.06
2012-09-07,79.88,200.63,482.08
2012-09-08,97.37,245.77,570.84
2012-09-09,94.67,238.79,557.43
2012-09-10,65.08,162.45,402.94
2012-09-11,47.08,116.15,300.8
2012-09-12,90.88,229.01,538.47
2012-09-13,106.06,268.2,613.08
2012-09-14,74.3,186.24,452.72
2012-09-15,25.5,60.88,166.62
2012-09-16,31.46,76.07,205.17
2012-09-17,36.71,89.52,238.16
2012-09-18,20.45,48.03,132.86
2012-09-19,39.65,97.06,256.24
2012-09-20,73.4,183.9,447.89
2012-09-21,92.29,232.65,545.56
2012-09-22,67.41,168.47,415.69
2012-09-23,85.07,214.01,508.91
2012-09-24,86.76,218.36,517.55
2012-09-25,88.22,222.13,524.98
2012-09-26,66.01,164.87,408.06
2012-09-27,52.29,129.53,331.12
2012-09-28,65.31,163.06,404.22
2012-09-29,69.5,173.85,426.99
2012-09-30,63.43,158.22,393.9
2012-10-01,58.47,145.43,366.26
2012-10-02,64.61,161.25,400.36
2012-10-03,107.24,271.27,618.76
2012-10-04,100.37,253.51,585.56
2012-10-05,82.93,208.49,497.89
2012-10-06,93.88,236.76,553.52
2012-10-07,93.09,234.71,549.56
2012-10-08,76.33,191.47,463.45
2012-10-09,57.52,142.99,360.92
2012-10-10,34.05,82.71,221.58
2012-10-11,13.56,30.68,85.44
2012-10-12,47.79,117.97,304.96
2012-10-13,66.48,166.07,410.61
2012-10-14,33.83,82.15,220.21
2012-10-15,6.07,12.33,33.53
2012-10-16,0.71,0.83,1.89
2012-10-17,5.3,10.52,28.41
2012-10-18,10.14,22.2,61.57
2012-10-19,2.34,3.9,9.96
2012-10-20,16.9,39.05,108.58
2012-10-21,2.29,3.8,9.68
2012-10-22,0.33,0.3,0.62
2012-10-23,3.68,6.8,17.94
2012-10-24,8.11,17.22,47.45
2012-10-25,46.14,113.73,295.25
2012-10-26,31.88,77.17,207.89
2012-10-27,16.26,37.45,104.19
2012-10-28,17.06,39.46,109.69
2012-10-29,13.99,31.76,88.44
2012-10-30,19.75,46.25,128.09
2012-10-31,11.91,26.57,73.93
2012-11-01,1.96,3.12,7.84
2012-11-02,1.34,1.93,4.69
2012-11-03,4.44,8.54,22.82
2012-11-04,37.61,91.82,243.71
2012-11-05,84.86,213.46,507.82
2012-11-06,17.38,40.28,111.93
2012-11-07,31.24,75.53,203.81
2012-11-08,60.13,149.7,375.56
2012-11-09,92.29,232.65,545.56
2012-11-10,85.49,215.1,511.08
2012-11-11,99.63,251.6,581.94
2012-11-12,92.69,233.68,547.56
2012-11-13,54.43,135.04,343.39
2012-11-14,13.85,31.39,87.44
2012-11-15,10.38,22.79,63.27
2012-11-16,9.09,19.62,54.26
2012-11-17,1.87,2.94,7.36
2012-11-18,5.98,12.12,32.94
2012-11-19,9.43,20.46,56.64
2012-11-20,7.39,15.49,42.5
2012-11-21,10.75,23.71,65.85
2012-11-22,64.84,161.85,401.65
2012-11-23,98.32,248.21,575.51
2012-11-24,59.89,149.09,374.23
2012-11-25,76.78,192.62,465.81
2012-11-26,31.46,76.07,205.17
2012-11-27,11.78,26.24,73.01
2012-11-28,25.11,59.88,164.04
2012-11-29,4.52,8.71,23.3
2012-11-30,1.34,1.93,4.69
2012-12-01,0.89,1.13,2.64
2012-12-02,7.49,15.73,43.19
2012-12-03,16.58,38.25,106.37
2012-12-04,104.15,263.27,603.91
2012-12-05,77.0,193.2,466.99
2012-12-06,45.44,111.92,291.07
2012-12-07,49.21,121.61,313.26
2012-12-08,43.8,107.72,281.33
2012-12-09,6.52,13.41,36.6
2012-12-10,90.07,226.91,534.36
2012-12-11,83.79,210.71,502.33
2012-12-12,16.74,38.65,107.48
2012-12-13,95.84,241.8,563.24
2012-12-14,36.04,87.81,234.0
2012-12-15,56.57,140.54,355.55
2012-12-16,63.43,158.22,393.9
2012-12-17,27.1,64.94,177.06
2012-12-18,36.04,87.81,234.0
2012-12-19,45.44,111.92,291.07
2012-12-20,100.37,253.51,585.56
2012-12-21,80.54,202.33,485.51
2012-12-22,14.14,32.12,89.46
2012-12-23,4.01,7.56,20.07
2012-12-24,19.06,44.5,123.38
2012-12-25,83.79,210.71,502.33
2012-12-26,20.63,48.48,134.06
2012-12-27,24.53,58.4,160.19
2012-12-28,4.52,8.71,23.3
2012-12-29,52.76,130.76,333.86
2012-12-30,40.79,100.0,263.2
2012-12-31,16.1,37.05,103.1
2013-01-01,82.71,207.93,496.78
2013-01-02,58.47,145.43,366.26
2013-01-03,14.58,33.22,92.53
2013-01-04,42.41,104.14,272.97
2013-01-05,79.88,200.63,482.08
2013-01-06,87.18,219.45,519.68
2013-01-07,119.99,304.23,677.92
2013-01-08,87.59,220.52,521.81
2013-01-09,130.33,331.01,722.51
2013-01-10,93.68,236.25,552.53
2013-01-11,10.14,22.2,61.57
2013-01-12,28.73,69.1,187.66
2013-01-13,50.87,125.87,322.9
2013-01-14,34.05,82.71,221.58
2013-01-15,13.42,30.32,84.45
2013-01-16,7.29,15.25,41.82
2013-01-17,13.56,30.68,85.44
2013-01-18,17.22,39.87,110.81
2013-01-19,46.85,115.54,299.41
2013-01-20,6.62,13.63,37.23
2013-01-21,7.09,14.77,40.48
2013-01-22,28.52,68.58,186.33
2013-01-23,85.7,215.65,512.17
2013-01-24,1.78,2.77,6.9
2013-01-25,26.7,63.91,174.43
2013-01-26,13.42,30.32,84.45
2013-01-27,78.12,196.07,472.84
2013-01-28,68.11,170.27,419.47
2013-01-29,72.48,181.55,443.03
2013-01-30,82.71,207.93,496.78
2013-01-31,120.9,306.58,682.0
2013-02-01,108.91,275.56,626.66
2013-02-02,45.91,113.13,293.86
2013-02-03,0.78,0.95,2.19
2013-02-04,31.67,76.62,206.53
2013-02-05,37.16,90.67,240.93
2013-02-06,95.25,240.3,560.35
2013-02-07,17.88,41.52,115.32
2013-02-08,0.84,1.04,2.41
2013-02-09,46.85,115.54,299.41
2013-02-10,59.89,149.09,374.23
2013-02-11,109.23,276.41,628.21
2013-02-12,37.16,90.67,240.93
2013-02-13,7.09,14.77,40.48
2013-02-14,0.1,0.06,0.1
2013-02-15,103.62,261.9,601.36
2013-02-16,96.8,244.29,568.01
2013-02-17,77.67,194.93,470.51
2013-02-18,97.94,247.24,573.65
2013-02-19,79.44,199.49,479.78
2013-02-20,53.0,131.37,335.22
2013-02-21,4.67,9.06,24.27
2013-02-22,7.39,15.49,42.5
2013-02-23,73.4,183.9,447.89
2013-02-24,29.35,70.69,191.67
2013-02-25,7.59,15.97,43.89
2013-02-26,0.89,1.13,2.64
2013-02-27,76.11,190.89,462.27
2013-02-28,94.28,237.77,555.48
2013-03-01,91.29,230.06,540.51
2013-03-02,13.28,29.97,83.46
2013-03-03,31.88,77.17,207.89
2013-03-04,89.86,226.38,533.33
2013-03-05,114.38,289.72,652.32
2013-03-06,27.7,66.49,181.02
2013-03-07,7.29,15.25,41.82
2013-03-08,27.3,65.45,178.38
2013-03-09,92.49,233.17,546.56
2013-03-10,72.26,180.96,441.81
2013-03-11,4.82,9.41,25.27
2013-03-12,39.19,95.89,253.45
2013-03-13,4.44,8.54,22.82
2013-03-14,10.75,23.71,65.85
2013-03-15,37.83,92.4,245.1
2013-03-16,110.52,279.74,634.3
2013-03-17,131.14,333.09,725.77
2013-03-18,69.73,174.45,428.24
2013-03-19,47.79,117.97,304.96
2013-03-20,61.78,153.97,384.77
2013-03-21,5.89,11.91,32.35
2013-03-22,76.33,191.47,463.45
2013-03-23,121.79,308.88,685.95
2013-03-24,88.63,223.2,527.08
2013-03-25,4.37,8.37,22.34
2013-03-26,8.21,17.48,48.18
2013-03-27,97.56,246.26,571.78
2013-03-28,27.1,64.94,177.06
2013-03-29,24.53,58.4,160.19
2013-03-30,2.99,5.29,13.76
2013-03-31,14.28,32.49,90.47
2013-04-01,5.89,11.91,32.35
2013-04-02,86.55,217.82,516.48
2013-04-03,5.38,10.72,28.95
2013-04-04,107.58,272.13,620.36
2013-04-05,113.18,286.6,646.73
2013-04-06,6.07,12.33,33.53
2013-04-07,16.74,38.65,107.48
2013-04-08,51.81,128.31,328.39
2013-04-09,104.15,263.27,603.91
2013-04-10,105.37,266.42,609.78
2013-04-11,76.78,192.62,465.81
2013-04-12,99.63,251.6,581.94
2013-04-13,83.57,210.15,501.22
2013-04-14,45.67,112.53,292.47
2013-04-15,74.3,186.24,452.72
2013-04-16,88.63,223.2,527.08
2013-04-17,106.91,270.4,617.15
2013-04-18,61.07,152.14,380.83
2013-04-19,59.65,148.48,372.91
2013-04-20,96.99,244.78,568.95
2013-04-21,67.41,168.47,415.69
2013-04-22,82.93,208.49,497.89
2013-04-23,47.32,116.75,302.19
2013-04-24,26.9,64.43,175.74
2013-04-25,36.26,88.38,235.39
2013-04-26,31.88,77.17,207.89
2013-04-27,3.54,6.51,17.13
2013-04-28,5.72,11.51,31.19
2013-04-29,30.61,73.9,199.75
2013-04-30,19.57,45.81,126.91
2013-05-01,38.97,95.31,252.06
2013-05-02,8.11,17.22,47.45
2013-05-03,3.23,5.81,15.21
2013-05-04,1.69,2.6,6.46
2013-05-05,10.75,23.71,65.85
2013-05-06,39.42,96.48,254.84
2013-05-07,55.38,137.48,348.81
2013-05-08,10.51,23.1,64.12
2013-05-09,49.44,122.22,314.64
2013-05-10,16.1,37.05,103.1
2013-05-11,6.71,13.86,37.87
2013-05-12,105.37,266.42,609.78
2013-05-13,10.88,24.02,66.72
2013-05-14,46.14,113.73,295.25
2013-05-15,95.84,241.8,563.24
2013-05-16,51.81,128.31,328.39
2013-05-17,21.89,51.69,142.6
2013-05-18,34.05,82.71,221.58
2013-05-19,45.67,112.53,292.47
2013-05-20,123.38,313.0,692.98
2013-05-21,60.36,150.31,376.88
2013-05-22,43.8,107.72,281.33
2013-05-23,21.53,50.77,140.14
2013-05-24,32.96,79.93,214.72
2013-05-25,104.32,263.72,604.76
2013-05-26,131.14,333.09,725.77
2013-05-27,112.72,285.42,644.59
