day,farm_1_agripv_kwh,farm_2_agripv_kwh,low_density_comm_solar_kwh,medium_density_comm_solar_kwh,high_density_comm_solar_kwh,small_turbine_wind_kwh,medium_turbine_wind_kwh,large_turbine_wind_kwh,total_solar_kwh,total_wind_kwh,total_renewable_kwh
2010-01-01,4162.5,2618.57,523.714,832.5,1488.778,102.8,60.84,109.36,9626.062,273.0,9899.062
2010-01-02,4203.561,2644.416,528.883,840.712,1503.445,138.0,85.86,156.64,9721.018,380.5,10101.518
2010-01-03,4023.427,2531.077,506.215,804.685,1439.033,191.0,124.44,229.8,9304.437,545.24,9849.677
2010-01-04,4179.503,2629.21,525.842,835.901,1494.896,1264.0,945.66,1570.4,9665.352,3780.06,13445.412
2010-01-05,4245.27,2670.564,534.113,849.054,1518.432,885.4,653.52,1136.48,9817.433,2675.4,12492.833
2010-01-06,4061.305,2554.91,510.982,812.261,1452.58,125.0,76.56,138.96,9392.038,340.52,9732.558
2010-01-07,4097.085,2577.485,515.497,819.417,1465.323,76.2,42.6,75.12,9474.807,193.92,9668.727
2010-01-08,4286.906,2696.889,539.378,857.381,1533.223,51.0,26.04,44.56,9913.777,121.6,10035.377
2010-01-09,4382.412,2756.957,551.391,876.482,1567.396,99.6,58.62,105.16,10134.639,263.38,10398.019
2010-01-10,4444.001,2795.745,559.149,888.8,1589.387,9.4,2.82,4.12,10277.082,16.34,10293.422
2010-01-11,4277.525,2691.017,538.203,855.505,1529.848,32.2,14.64,24.12,9892.098,70.96,9963.058
2010-01-12,3970.93,2498.057,499.611,794.186,1420.253,30.6,13.74,22.52,9183.037,66.86,9249.897
2010-01-13,2613.293,1643.955,328.791,522.659,934.7,445.2,315.78,580.28,6043.398,1341.26,7384.658
2010-01-14,4268.326,2685.085,537.017,853.665,1526.665,351.0,244.14,452.2,9870.758,1047.34,10918.098
2010-01-15,4384.009,2757.844,551.569,876.802,1568.058,271.2,184.08,341.76,10138.281,797.04,10935.321
2010-01-16,3797.621,2389.049,477.81,759.524,1358.252,81.6,46.32,82.04,8782.257,209.96,8992.217
2010-01-17,3121.597,1963.792,392.758,624.319,1116.453,681.0,496.26,886.32,7218.92,2063.58,9282.5
2010-01-18,3464.24,2179.23,435.846,692.848,1239.083,2168.2,1645.68,2497.24,8011.246,6311.12,14322.366
2010-01-19,3787.966,2382.803,476.561,757.593,1354.931,716.4,523.44,930.48,8759.854,2170.32,10930.174
2010-01-20,3214.324,2021.997,404.399,642.865,1149.713,1064.8,791.88,1346.36,7433.297,3203.04,10636.337
2010-01-21,4357.454,2741.037,548.207,871.491,1558.634,734.2,537.12,952.64,10076.822,2223.96,12300.782
2010-01-22,4499.953,2830.72,566.144,899.991,1609.565,117.8,71.46,129.4,10406.373,318.66,10725.033
2010-01-23,4561.226,2869.35,573.87,912.245,1631.421,288.6,197.1,366.0,10548.112,851.7,11399.812
2010-01-24,4449.354,2798.899,559.78,889.871,1591.467,1772.6,1339.2,2108.32,10289.37,5220.12,15509.49
2010-01-25,4572.961,2876.552,575.31,914.592,1635.751,2124.6,1611.84,2455.6,10575.167,6192.04,16767.207
2010-01-26,4701.423,2957.342,591.468,940.285,1681.722,1093.4,813.9,1379.0,10872.24,3286.3,14158.54
2010-01-27,3881.207,2441.504,488.301,776.241,1388.248,33.8,15.6,25.84,8975.501,75.24,9050.741
2010-01-28,4802.353,3021.056,604.211,960.471,1717.653,11.4,3.72,5.52,11105.744,20.64,11126.384
2010-01-29,4646.576,2923.081,584.616,929.315,1661.921,341.2,236.76,438.76,10745.509,1016.72,11762.229
2010-01-30,3632.624,2285.238,457.048,726.525,1299.247,1709.8,1290.6,2044.32,8400.681,5044.72,13445.401
2010-01-31,2720.575,1711.504,342.301,544.115,973.029,170.8,109.62,201.64,6291.523,482.06,6773.583
2010-02-01,4612.763,2901.797,580.359,922.553,1649.84,1249.8,934.74,1554.76,10667.313,3739.3,14406.613
2010-02-02,4875.489,3066.992,613.398,975.098,1743.865,1641.2,1237.56,1973.68,11274.843,4852.44,16127.283
2010-02-03,4768.906,2999.858,599.972,953.781,1705.812,2479.6,1887.24,2782.32,11028.33,7149.16,18177.49
2010-02-04,4970.535,3126.598,625.32,994.107,1778.004,2556.4,1946.94,2848.36,11494.563,7351.7,18846.263
2010-02-05,4751.949,2989.066,597.813,950.39,1699.839,2072.4,1571.4,2405.44,10989.057,6049.24,17038.297
2010-02-06,4905.639,3085.759,617.152,981.128,1754.799,1301.6,974.7,1611.76,11344.477,3888.06,15232.537
2010-02-07,5228.631,3289.014,657.803,1045.726,1870.274,193.4,126.18,233.04,12091.449,552.62,12644.069
2010-02-08,4835.072,3041.575,608.315,967.014,1729.407,200.4,131.4,242.96,11181.383,574.76,11756.143
2010-02-09,4946.51,3111.69,622.338,989.302,1769.248,37.4,17.64,29.44,11439.088,84.48,11523.568
2010-02-10,5061.563,3184.111,636.822,1012.313,1810.371,93.4,54.36,97.08,11705.18,244.84,11950.02
2010-02-11,4833.504,3040.665,608.133,966.701,1728.777,452.6,321.42,590.2,11177.779,1364.22,12541.999
2010-02-12,5139.522,3233.262,646.652,1027.904,1838.168,47.8,24.06,41.0,11885.508,112.86,11998.368
2010-02-13,5088.783,3201.411,640.282,1017.757,1819.975,94.8,55.38,99.08,11768.208,249.26,12017.468
2010-02-14,4251.567,2674.75,534.95,850.313,1520.512,37.4,17.64,29.44,9832.092,84.48,9916.572
2010-02-15,4253.555,2676.025,535.205,850.711,1521.204,220.2,145.98,270.4,9836.7,636.58,10473.28
2010-02-16,4623.075,2908.525,581.705,924.615,1653.336,4.2,0.96,1.24,10691.256,6.4,10697.656
2010-02-17,5058.411,3182.385,636.477,1011.682,1809.044,145.8,91.5,167.28,11697.999,404.58,12102.579
2010-02-18,5133.778,3229.805,645.961,1026.756,1835.992,107.6,64.32,115.8,11872.292,287.72,12160.012
2010-02-19,5371.871,3379.52,675.904,1074.374,1921.196,913.4,675.18,1169.88,12422.866,2758.46,15181.326
2010-02-20,5475.237,3444.541,688.908,1095.047,1958.179,309.6,213.0,395.24,12661.913,917.84,13579.753
2010-02-21,5582.247,3511.918,702.384,1116.449,1996.407,134.2,83.16,151.48,12909.405,368.84,13278.245
2010-02-22,5172.077,3253.701,650.74,1034.415,1849.839,1988.8,1506.72,2324.12,11960.773,5819.64,17780.413
2010-02-23,5363.314,3373.972,674.794,1072.663,1918.269,1936.0,1465.74,2272.04,12403.013,5673.78,18076.793
2010-02-24,5129.654,3226.968,645.394,1025.931,1834.704,1060.0,788.22,1340.88,11862.65,3189.1,15051.75
2010-02-25,4126.279,2595.787,519.157,825.256,1475.817,862.2,635.58,1108.6,9542.296,2606.38,12148.676
2010-02-26,4333.13,2725.794,545.159,866.626,1549.884,2200.8,1671.0,2528.16,10020.593,6399.96,16420.553
2010-02-27,5700.234,3585.801,717.16,1140.047,2038.864,788.4,578.88,1019.36,13182.106,2386.64,15568.746
2010-02-28,4638.925,2918.25,583.65,927.785,1659.194,1688.6,1274.16,2022.52,10727.803,4985.28,15713.083
2010-03-01,5755.682,3620.659,724.132,1151.136,2058.71,1988.8,1506.72,2324.12,13310.319,5819.64,19129.959
2010-03-02,5870.044,3692.758,738.552,1174.009,2099.498,608.0,440.16,793.6,13574.86,1841.76,15416.62
2010-03-03,5463.336,3436.944,687.389,1092.667,1954.005,494.4,353.34,645.88,12634.341,1493.62,14127.961
2010-03-04,6177.496,3886.138,777.228,1235.499,2209.489,1671.4,1260.9,2004.88,14285.85,4937.18,19223.03
2010-03-05,5462.587,3436.551,687.31,1092.517,1953.671,251.6,169.44,314.48,12632.636,735.52,13368.156
2010-03-06,6002.247,3776.056,755.211,1200.449,2146.683,423.4,299.1,550.8,13880.647,1273.3,15153.947
2010-03-07,6159.52,3874.968,774.994,1231.904,2202.954,770.2,564.84,997.08,14244.339,2332.12,16576.459
2010-03-08,6011.17,3781.775,756.355,1202.234,2149.786,202.8,133.2,246.28,13901.32,582.28,14483.6
2010-03-09,5437.114,3420.632,684.126,1087.423,1944.485,1169.4,872.58,1465.04,12573.78,3507.02,16080.8
2010-03-10,5863.407,3688.825,737.765,1172.681,2096.939,642.0,466.32,837.0,13559.617,1945.32,15504.937
2010-03-11,6183.936,3890.534,778.107,1236.787,2211.527,265.6,179.82,333.84,14300.891,779.26,15080.151
2010-03-12,6264.74,3941.362,788.272,1252.948,2240.432,260.0,175.62,326.04,14487.754,761.66,15249.414
2010-03-13,6218.561,3912.211,782.442,1243.712,2223.987,988.8,733.32,1258.56,14380.913,2980.68,17361.593
2010-03-14,5176.545,3256.664,651.333,1035.309,1851.322,1490.6,1120.92,1815.68,11971.174,4427.2,16398.374
2010-03-15,4676.262,2941.939,588.388,935.252,1672.392,1292.2,967.5,1601.44,10814.234,3861.14,14675.374
2010-03-16,5590.22,3516.76,703.352,1118.044,1999.386,2595.6,1977.42,2880.96,12927.761,7453.98,20381.741
2010-03-17,5691.962,3580.702,716.14,1138.392,2035.825,2354.0,1789.68,2670.12,13163.022,6813.8,19976.822
2010-03-18,6539.236,4113.596,822.719,1307.847,2338.954,2803.2,2139.84,3025.28,15122.353,7968.32,23090.673
2010-03-19,6979.16,4390.297,878.059,1395.832,2496.333,1841.8,1392.78,2178.2,16139.681,5412.78,21552.461
2010-03-20,6751.218,4246.988,849.398,1350.244,2414.737,1692.8,1277.46,2026.88,15612.585,4997.14,20609.725
2010-03-21,6284.794,3953.66,790.732,1256.959,2247.845,756.6,554.4,980.4,14533.99,2291.4,16825.39
2010-03-22,6310.457,3969.874,793.975,1262.091,2256.973,720.8,526.86,936.0,14593.369,2183.66,16777.029
2010-03-23,6451.854,4058.76,811.752,1290.371,2307.593,1121.8,835.92,1411.44,14920.329,3369.16,18289.489
2010-03-24,6511.387,4096.262,819.252,1302.277,2328.846,99.6,58.62,105.16,15058.025,263.38,15321.405
2010-03-25,6304.462,3966.092,793.218,1260.892,2254.837,2337.0,1776.66,2654.76,14579.503,6768.42,21347.923
2010-03-26,6516.085,4099.093,819.819,1303.217,2330.622,1845.8,1395.9,2182.24,15068.836,5423.94,20492.776
2010-03-27,5942.262,3738.061,747.612,1188.452,2125.426,1809.6,1367.76,2145.68,13741.814,5323.04,19064.854
2010-03-28,6634.243,4173.482,834.696,1326.849,2372.843,64.6,34.86,60.84,15342.113,160.3,15502.413
2010-03-29,6569.866,4133.081,826.616,1313.973,2349.742,147.8,92.94,170.0,15193.278,410.74,15604.018
2010-03-30,7210.797,4536.188,907.238,1442.159,2579.043,2086.4,1582.32,2419.04,16675.425,6087.76,22763.185
2010-03-31,7520.044,4730.728,946.146,1504.009,2689.66,712.0,520.02,924.96,17390.587,2156.98,19547.567
2010-04-01,7412.1,4662.99,932.598,1482.42,2650.924,364.2,254.16,470.4,17141.032,1088.76,18229.792
2010-04-02,7100.795,4467.417,893.483,1420.159,2539.377,222.6,147.84,273.96,16421.232,644.4,17065.632
2010-04-03,6479.321,4076.496,815.299,1295.864,2317.075,288.6,197.1,366.0,14984.055,851.7,15835.755
2010-04-04,6223.486,3915.376,783.075,1244.697,2225.699,685.4,499.62,891.84,14392.334,2076.86,16469.194
2010-04-05,7031.461,4423.494,884.699,1406.292,2514.812,1739.4,1313.46,2074.48,16260.758,5127.34,21388.098
2010-04-06,7274.874,4576.571,915.314,1454.975,2601.912,2018.4,1529.58,2353.0,16823.645,5900.98,22724.625
2010-04-07,7235.596,4551.864,910.373,1447.119,2587.863,2420.6,1841.52,2730.28,16732.816,6992.4,23725.216
2010-04-08,7235.467,4551.749,910.35,1447.093,2587.838,2405.2,1829.46,2716.4,16732.498,6951.06,23683.558
2010-04-09,7169.364,4510.191,902.038,1433.873,2564.184,1641.2,1237.56,1973.68,16579.651,4852.44,21432.091
2010-04-10,6612.605,4160.089,832.018,1322.521,2364.927,68.4,37.38,65.4,15292.159,171.18,15463.339
2010-04-11,6292.184,3958.672,791.734,1258.437,2250.207,518.0,371.28,676.84,14551.234,1566.12,16117.354
2010-04-12,7074.148,4450.278,890.056,1414.83,2530.134,2435.8,1853.28,2743.8,16359.445,7032.88,23392.325
2010-04-13,7682.388,4832.831,966.566,1536.478,2747.738,1495.2,1124.46,1820.48,17766.001,4440.14,22206.141
2010-04-14,7493.063,4713.853,942.771,1498.613,2679.933,1468.0,1103.4,1791.56,17328.232,4362.96,21691.192
2010-04-15,7226.896,4546.523,909.305,1445.379,2584.65,114.4,69.06,124.76,16712.752,308.22,17020.972
2010-04-16,7360.225,4630.552,926.11,1472.045,2632.217,61.0,32.52,56.48,17021.15,150.0,17171.15
2010-04-17,7641.213,4807.187,961.437,1528.243,2732.813,1722.6,1300.44,2057.32,17670.893,5080.36,22751.253
2010-04-18,7325.085,4608.438,921.688,1465.017,2619.66,876.0,646.32,1125.32,16939.887,2647.64,19587.527
2010-04-19,7338.52,4617.017,923.403,1467.704,2624.366,437.8,310.14,570.4,16971.01,1318.34,18289.35
2010-04-20,7140.355,4492.355,898.471,1428.071,2553.485,475.2,338.7,620.36,16512.736,1434.26,17946.996
2010-04-21,6432.701,4046.979,809.396,1286.54,2300.537,2151.6,1632.78,2481.44,14876.152,6265.82,21141.972
2010-04-22,7943.02,4996.863,999.373,1588.604,2840.907,2450.8,1864.86,2757.0,18368.766,7072.66,25441.426
2010-04-23,7391.098,4649.632,929.926,1478.22,2643.525,1348.2,1010.82,1662.76,17092.4,4021.78,21114.18
2010-04-24,7922.067,4983.792,996.758,1584.413,2833.322,257.2,173.58,322.16,18320.353,752.94,19073.293
2010-04-25,7469.686,4699.325,939.865,1493.937,2671.437,374.2,261.84,484.24,17274.251,1120.28,18394.531
2010-04-26,7592.38,4776.571,955.314,1518.476,2715.265,1588.8,1196.94,1919.12,17558.006,4704.86,22262.866
2010-04-27,7651.282,4813.771,962.754,1530.256,2736.225,101.2,59.76,107.24,17694.289,268.2,17962.489
2010-04-28,7112.845,4474.845,894.969,1422.569,2543.804,2373.2,1804.62,2687.56,16449.032,6865.38,23314.412
2010-04-29,6242.332,3927.117,785.423,1248.466,2232.53,1628.2,1227.48,1960.16,14435.869,4815.84,19251.709
2010-04-30,3981.126,2504.564,500.913,796.225,1423.828,1495.2,1124.46,1820.48,9206.657,4440.14,13646.797
2010-05-01,5655.098,3557.689,711.538,1131.02,2022.507,608.0,440.16,793.6,13077.851,1841.76,14919.611
2010-05-02,8135.225,5117.837,1023.567,1627.045,2909.601,1722.6,1300.44,2057.32,18813.275,5080.36,23893.635
2010-05-03,8215.978,5168.72,1033.744,1643.196,2938.425,595.4,430.56,777.44,19000.062,1803.4,20803.462
2010-05-04,8146.364,5124.983,1024.997,1629.273,2913.482,364.2,254.16,470.4,18839.098,1088.76,19927.858
2010-05-05,8193.762,5154.867,1030.973,1638.752,2930.387,616.4,446.64,804.4,18948.742,1867.44,20816.182
2010-05-06,8216.46,5169.163,1033.833,1643.292,2938.489,937.0,693.24,1197.64,19001.237,2827.88,21829.117
2010-05-07,7945.857,4999.111,999.822,1589.171,2841.565,121.4,73.98,134.12,18375.526,329.5,18705.026
2010-05-08,7557.928,4755.219,951.044,1511.586,2702.699,186.4,121.08,223.36,17478.476,530.84,18009.316
2010-05-09,6812.148,4286.031,857.206,1362.43,2435.99,151.8,95.82,175.56,15753.805,423.18,16176.985
2010-05-10,6789.793,4271.891,854.378,1357.959,2428.051,834.4,614.16,1075.12,15702.072,2523.68,18225.752
2010-05-11,7599.964,4781.348,956.27,1519.993,2717.977,1909.0,1444.8,2245.24,17575.551,5599.04,23174.591
2010-05-12,8013.325,5041.417,1008.283,1602.665,2865.8,1362.2,1021.62,1677.88,18531.49,4061.7,22593.19
2010-05-13,8140.905,5121.729,1024.346,1628.181,2911.389,1273.4,952.92,1580.76,18826.549,3807.08,22633.629
2010-05-14,8105.448,5099.613,1019.923,1621.09,2898.564,1380.8,1035.96,1697.96,18744.637,4114.72,22859.357
2010-05-15,7734.704,4866.434,973.287,1546.941,2765.929,624.8,453.18,815.24,17887.294,1893.22,19780.514
2010-05-16,7291.822,4587.934,917.587,1458.364,2607.439,99.6,58.62,105.16,16863.146,263.38,17126.526
2010-05-17,6337.224,3987.265,797.453,1267.445,2266.119,490.6,350.4,640.76,14655.505,1481.76,16137.265
2010-05-18,6824.588,4293.707,858.741,1364.918,2440.555,2302.4,1749.78,2622.96,15782.508,6675.14,22457.648
2010-05-19,7769.903,4888.302,977.66,1553.981,2778.727,2755.8,2102.4,3001.2,17968.574,7859.4,25827.974
2010-05-20,7890.738,4964.248,992.85,1578.148,2821.99,2500.4,1903.38,2800.4,18247.972,7204.18,25452.152
2010-05-21,8061.074,5071.458,1014.292,1612.215,2882.88,1159.8,865.26,1454.36,18641.918,3479.42,22121.338
2010-05-22,7757.537,4880.668,976.134,1551.507,2774.19,1079.0,802.86,1362.68,17940.036,3244.54,21184.576
2010-05-23,8056.409,5068.448,1013.69,1611.282,2881.266,2648.0,2018.16,2923.16,18631.093,7589.32,26220.413
2010-05-24,8169.02,5139.247,1027.849,1633.804,2921.573,2007.4,1521.06,2342.24,18891.493,5870.7,24762.193
2010-05-25,8085.054,5086.497,1017.299,1617.011,2891.489,1675.8,1264.26,2009.32,18697.351,4949.38,23646.731
2010-05-26,7981.459,5021.539,1004.308,1596.292,2854.275,624.8,453.18,815.24,18457.872,1893.22,20351.092
2010-05-27,6910.536,4347.838,869.568,1382.107,2471.248,1440.6,1082.22,1762.36,15981.297,4285.18,20266.477
2010-05-28,7806.459,4911.27,982.254,1561.292,2791.817,2491.2,1896.24,2792.44,18053.093,7179.88,25232.973
2010-05-29,8127.706,5113.435,1022.687,1625.541,2906.666,1499.6,1127.94,1825.28,18796.036,4452.82,23248.856
2010-05-30,8070.123,5077.23,1015.446,1614.025,2886.054,629.2,456.42,820.68,18662.878,1906.3,20569.178
2010-05-31,8053.162,5066.692,1013.338,1610.632,2879.886,351.0,244.14,452.2,18623.711,1047.34,19671.051
2010-06-01,7523.568,4733.638,946.728,1504.714,2690.386,78.8,44.46,78.52,17399.033,201.78,17600.813
2010-06-02,7731.154,4864.143,972.829,1546.231,2764.7,1352.8,1014.42,1667.8,17879.055,4035.02,21914.075
2010-06-03,7232.285,4550.225,910.045,1446.457,2586.344,1499.6,1127.94,1825.28,16725.356,4452.82,21178.176
2010-06-04,7884.189,4960.308,992.062,1576.838,2819.509,1785.0,1348.8,2120.88,18232.906,5254.68,23487.586
2010-06-05,8158.009,5132.545,1026.509,1631.602,2917.465,1865.8,1411.32,2202.2,18866.13,5479.32,24345.45
2010-06-06,7802.878,4909.365,981.873,1560.576,2790.274,747.6,547.5,969.28,18044.966,2264.38,20309.346
2010-06-07,7736.731,4867.851,973.57,1547.346,2766.534,29.8,13.26,21.72,17892.033,64.78,17956.813
2010-06-08,7628.056,4799.21,959.842,1525.611,2727.882,2389.4,1817.16,2702.16,17640.601,6908.72,24549.321
2010-06-09,8261.129,5197.376,1039.475,1652.226,2954.38,2481.8,1889.04,2784.36,19104.587,7155.2,26259.787
2010-06-10,8277.789,5207.893,1041.579,1655.558,2960.311,1273.4,952.92,1580.76,19143.128,3807.08,22950.208
2010-06-11,7539.613,4743.63,948.726,1507.923,2696.206,344.4,239.22,443.24,17436.097,1026.86,18462.957
2010-06-12,7833.054,4928.118,985.624,1566.611,2801.24,815.8,600.0,1052.8,18114.647,2468.6,20583.247
2010-06-13,8035.002,5055.255,1011.051,1607.0,2873.395,913.4,675.18,1169.88,18581.703,2758.46,21340.163
2010-06-14,7928.776,4988.432,997.686,1585.755,2835.408,1705.6,1287.36,2040.0,18336.058,5032.96,23369.018
2010-06-15,8110.889,5103.028,1020.606,1622.178,2900.511,1901.2,1438.8,2237.52,18757.212,5577.52,24334.732
2010-06-16,8203.043,5161.025,1032.205,1640.609,2933.458,486.8,347.46,635.64,18970.339,1469.9,20440.239
2010-06-17,7992.089,5028.405,1005.681,1598.418,2857.933,1112.4,828.6,1400.64,18482.525,3341.64,21824.165
2010-06-18,8094.044,5092.534,1018.507,1618.809,2894.407,1169.4,872.58,1465.04,18718.301,3507.02,22225.321
2010-06-19,7960.283,5008.385,1001.677,1592.057,2846.575,1088.6,810.24,1373.56,18408.976,3272.4,21681.376
2010-06-20,7553.443,4752.599,950.52,1510.689,2700.949,102.8,60.84,109.36,17468.2,273.0,17741.2
2010-06-21,7910.581,4977.347,995.469,1582.116,2828.627,360.8,251.64,465.8,18294.139,1078.24,19372.379
2010-06-22,7671.03,4826.622,965.324,1534.206,2742.958,1278.0,956.58,1585.96,17740.14,3820.54,21560.68
2010-06-23,7954.105,5004.564,1000.913,1590.821,2844.308,738.6,540.6,958.2,18394.712,2237.4,20632.112
2010-06-24,7748.264,4875.014,975.003,1549.653,2770.733,1837.8,1389.72,2174.16,17918.666,5401.68,23320.346
2010-06-25,8175.971,5143.897,1028.779,1635.194,2923.847,2348.4,1785.36,2665.04,18907.689,6798.8,25706.489
2010-06-26,8317.286,5232.724,1046.545,1663.457,2974.442,2061.8,1563.18,2395.12,19234.453,6020.1,25254.553
2010-06-27,8190.439,5152.96,1030.592,1638.088,2929.053,1684.4,1270.86,2018.12,18941.132,4973.38,23914.512
2010-06-28,8312.465,5229.959,1045.992,1662.493,2972.514,779.4,571.86,1008.24,19223.423,2359.5,21582.923
2010-06-29,7950.008,5002.086,1000.417,1590.002,2842.773,471.4,335.76,615.32,18385.286,1422.48,19807.766
2010-06-30,7937.036,4993.708,998.742,1587.407,2838.3,2072.4,1571.4,2405.44,18355.192,6049.24,24404.432
2010-07-01,8206.868,5163.359,1032.672,1641.374,2934.882,2229.6,1693.2,2555.08,18979.154,6477.88,25457.034
2010-07-02,8266.813,5200.98,1040.196,1653.363,2956.389,2022.0,1532.4,2356.56,19117.74,5910.96,25028.7
2010-07-03,8192.211,5154.126,1030.825,1638.442,2929.653,1440.6,1082.22,1762.36,18945.258,4285.18,23230.438
2010-07-04,7843.455,4934.787,986.957,1568.691,2804.859,672.2,489.54,875.32,18138.748,2037.06,20175.808
2010-07-05,7843.465,4934.825,986.965,1568.693,2804.842,806.8,592.92,1041.68,18138.791,2441.4,20580.191
2010-07-06,7826.428,4924.126,984.825,1565.286,2798.735,1282.8,960.24,1591.12,18099.4,3834.16,21933.56
2010-07-07,7667.758,4824.323,964.865,1533.552,2741.984,1813.6,1370.94,2149.76,17732.481,5334.3,23066.781
2010-07-08,7586.135,4772.922,954.584,1517.227,2712.824,2477.2,1885.38,2780.24,17543.692,7142.82,24686.512
2010-07-09,7525.788,4734.962,946.992,1505.158,2691.236,2402.6,1827.42,2714.04,17404.136,6944.06,24348.196
2010-07-10,7548.173,4749.01,949.802,1509.635,2699.274,2337.0,1776.66,2654.76,17455.893,6768.42,24224.313
2010-07-11,7483.432,4708.319,941.664,1496.686,2676.083,2453.2,1866.78,2759.16,17306.185,7079.14,24385.325
2010-07-12,7257.993,4566.611,913.322,1451.599,2595.369,1403.8,1053.84,1722.92,16784.893,4180.56,20965.453
2010-07-13,7044.892,4432.462,886.492,1408.978,2519.221,2251.4,1710.12,2575.48,16292.046,6537.0,22829.046
2010-07-14,7542.971,4745.826,949.165,1508.594,2697.334,2370.4,1802.52,2685.12,17443.89,6858.04,24301.93
2010-07-15,7618.054,4793.075,958.615,1523.611,2724.183,1955.0,1480.5,2290.84,17617.539,5726.34,23343.879
2010-07-16,6604.696,4155.528,831.106,1320.939,2361.783,344.4,239.22,443.24,15274.053,1026.86,16300.913
2010-07-17,6764.926,4256.382,851.276,1352.985,2419.058,1329.6,996.42,1642.44,15644.627,3968.46,19613.087
2010-07-18,7549.72,4750.138,950.028,1509.944,2699.703,1628.2,1227.48,1960.16,17459.533,4815.84,22275.373
2010-07-19,7687.792,4836.974,967.395,1537.558,2749.109,2076.0,1574.16,2408.84,17778.828,6059.0,23837.828
2010-07-20,7865.867,4948.965,989.793,1573.173,2812.823,2104.0,1595.82,2435.8,18190.621,6135.62,24326.241
2010-07-21,7976.39,5018.462,1003.692,1595.278,2852.383,2278.8,1731.36,2600.96,18446.206,6611.12,25057.326
2010-07-22,7863.196,4947.177,989.435,1572.639,2811.948,1468.0,1103.4,1791.56,18184.395,4362.96,22547.355
2010-07-23,7696.903,4842.596,968.519,1539.381,2752.453,1348.2,1010.82,1662.76,17799.851,4021.78,21821.631
2010-07-24,7686.63,4836.187,967.237,1537.326,2748.735,1017.4,755.22,1291.6,17776.116,3064.22,20840.336
2010-07-25,7585.944,4772.881,954.576,1517.189,2712.694,251.6,169.44,314.48,17543.284,735.52,18278.804
2010-07-26,7574.358,4765.677,953.135,1514.872,2708.484,360.8,251.64,465.8,17516.525,1078.24,18594.765
2010-07-27,7489.004,4712.031,942.406,1497.801,2677.921,1022.0,758.88,1297.08,17319.163,3077.96,20397.123
2010-07-28,7726.575,4861.361,972.272,1545.315,2762.98,2104.0,1595.82,2435.8,17868.502,6135.62,24004.122
2010-07-29,7813.517,4915.892,983.178,1562.703,2794.201,1140.8,850.56,1432.96,18069.493,3424.32,21493.813
2010-07-30,7605.648,4785.214,957.043,1521.13,2719.788,398.4,280.14,517.12,17588.823,1195.66,18784.483
2010-07-31,7043.132,4431.357,886.271,1408.626,2518.594,117.8,71.46,129.4,16287.98,318.66,16606.64
2010-08-01,6756.408,4251.015,850.203,1351.282,2416.019,1207.2,901.86,1507.52,15624.927,3616.58,19241.507
2010-08-02,7066.038,4445.86,889.172,1413.208,2526.704,2213.6,1680.96,2540.2,16340.982,6434.76,22775.742
2010-08-03,7178.833,4516.806,903.361,1435.767,2567.058,2036.6,1543.68,2370.72,16601.824,5951.0,22552.824
2010-08-04,7401.065,4656.625,931.325,1480.213,2646.536,1343.6,1007.22,1657.68,17115.764,4008.5,21124.264
2010-08-05,7475.488,4703.56,940.712,1495.098,2673.06,58.6,31.02,53.68,17287.918,143.3,17431.218
2010-08-06,7351.14,4625.353,925.071,1470.228,2628.57,35.6,16.62,27.6,17000.361,79.82,17080.181
2010-08-07,7014.19,4413.359,882.672,1402.838,2508.07,1329.6,996.42,1642.44,16221.13,3968.46,20189.59
2010-08-08,7085.965,4458.423,891.685,1417.193,2533.816,1809.6,1367.76,2145.68,16387.082,5323.04,21710.122
2010-08-09,7268.226,4573.013,914.603,1453.645,2599.057,2076.0,1574.16,2408.84,16808.544,6059.0,22867.544
2010-08-10,7517.138,4729.557,945.911,1503.428,2688.111,2076.0,1574.16,2408.84,17384.145,6059.0,23443.145
2010-08-11,7349.089,4623.846,924.769,1469.818,2628.005,1575.6,1186.74,1905.28,16995.527,4667.62,21663.147
2010-08-12,7092.831,4462.613,892.523,1418.566,2536.371,1877.6,1420.56,2214.08,16402.904,5512.24,21915.144
2010-08-13,6970.775,4385.833,877.167,1394.155,2492.708,2036.6,1543.68,2370.72,16120.638,5951.0,22071.638
2010-08-14,7007.324,4408.835,881.767,1401.465,2505.773,1958.8,1483.44,2294.6,16205.164,5736.84,21942.004
2010-08-15,7026.706,4421.116,884.223,1405.341,2512.641,1380.8,1035.96,1697.96,16250.028,4114.72,20364.748
2010-08-16,7039.282,4429.024,885.805,1407.856,2517.145,1417.6,1064.52,1737.76,16279.113,4219.88,20498.993
2010-08-17,6453.152,4060.288,812.058,1290.63,2307.518,1490.6,1120.92,1815.68,14923.646,4427.2,19350.846
2010-08-18,6720.973,4228.814,845.763,1344.195,2403.268,620.6,449.94,809.84,15543.012,1880.38,17423.392
2010-08-19,6771.012,4260.285,852.057,1354.202,2421.167,712.0,520.02,924.96,15658.723,2156.98,17815.703
2010-08-20,6617.326,4163.623,832.725,1323.465,2366.187,1610.8,1213.98,1942.04,15303.325,4766.82,20070.145
2010-08-21,6874.043,4325.125,865.025,1374.809,2458.009,2351.2,1787.52,2667.56,15897.011,6806.28,22703.291
